model,scenario,type,purchase,planned,corrective
Multistage (tree),14,0,50.0,0.0,57.0
Multistage (tree),14,1,0.0,0.0,0.0
Multistage (tree),14,2,23.0,78.0,65.0
Multistage (tree),15,0,50.0,13.0,62.0
Multistage (tree),15,1,0.0,0.0,0.0
Multistage (tree),15,2,23.0,65.0,69.0
Static,0,0,50.0,0.0,0.0
Static,0,1,4.0,0.0,0.0
Static,0,2,40.0,0.0,0.0
Static,1,0,50.0,0.0,0.0
Static,1,1,4.0,0.0,0.0
Static,1,2,40.0,0.0,0.0
Static,2,0,50.0,0.0,0.0
Static,2,1,4.0,0.0,0.0
Static,2,2,40.0,0.0,0.0
Static,3,0,50.0,0.0,0.0
Static,3,1,4.0,0.0,0.0
Static,3,2,40.0,0.0,0.0
Static,4,0,50.0,0.0,0.0
Static,4,1,4.0,0.0,0.0
Static,4,2,40.0,0.0,0.0
Static,5,0,50.0,0.0,0.0
Static,5,1,4.0,0.0,0.0
Static,5,2,40.0,0.0,0.0
Static,6,0,50.0,0.0,0.0
Static,6,1,4.0,0.0,0.0
Static,6,2,40.0,0.0,0.0
Static,7,0,50.0,0.0,0.0
Static,7,1,4.0,0.0,0.0
Static,7,2,40.0,0.0,0.0
Static,8,0,50.0,0.0,0.0
Static,8,1,4.0,0.0,0.0
Static,8,2,40.0,0.0,0.0
Static,9,0,50.0,0.0,0.0
Static,9,1,4.0,0.0,0.0
Static,9,2,40.0,0.0,0.0
Static,10,0,50.0,0.0,0.0
Static,10,1,4.0,0.0,0.0
Static,10,2,40.0,0.0,0.0
Static,11,0,50.0,0.0,0.0
Static,11,1,4.0,0.0,0.0
Static,11,2,40.0,0.0,0.0
Static,12,0,50.0,0.0,0.0
Static,12,1,4.0,0.0,0.0
Static,12,2,40.0,0.0,0.0
Static,13,0,50.0,0.0,0.0
Static,13,1,4.0,0.0,0.0
Static,13,2,40.0,0.0,0.0
Static,14,0,50.0,0.0,0.0
Static,14,1,4.0,0.0,0.0
Static,14,2,40.0,0.0,0.0
Static,15,0,50.0,0.0,0.0
Static,15,1,4.0,0.0,0.0
Static,15,2,40.0,0.0,0.0
MNP,0,0,50.0,42.0,47.0
MNP,0,1,-0.0,0.0,0.0
MNP,0,2,23.0,94.0,35.0
MNP,1,0,50.0,42.0,48.0
MNP,1,1,-0.0,0.0,0.0
MNP,1,2,23.0,94.0,27.0
MNP,2,0,50.0,42.0,44.0
MNP,2,1,-0.0,0.0,0.0
MNP,2,2,23.0,94.0,35.0
MNP,3,0,50.0,42.0,37.0
MNP,3,1,-0.0,0.0,0.0
MNP,3,2,23.0,94.0,38.0
MNP,4,0,50.0,42.0,56.0
MNP,4,1,-0.0,0.0,0.0
MNP,4,2,23.0,94.0,34.0
MNP,5,0,50.0,42.0,54.0
MNP,5,1,-0.0,0.0,0.0
MNP,5,2,23.0,94.0,33.0
MNP,6,0,50.0,42.0,73.0
MNP,6,1,-0.0,0.0,0.0
MNP,6,2,23.0,94.0,33.0
MNP,7,0,50.0,42.0,68.0
MNP,7,1,-0.0,0.0,0.0
MNP,7,2,23.0,94.0,34.0
MNP,8,0,50.0,42.0,63.0
MNP,8,1,-0.0,0.0,0.0
MNP,8,2,23.0,94.0,17.0
MNP,9,0,50.0,42.0,67.0
MNP,9,1,-0.0,0.0,0.0
MNP,9,2,23.0,94.0,17.0
MNP,10,0,50.0,42.0,57.0
MNP,10,1,-0.0,0.0,0.0
MNP,10,2,23.0,94.0,17.0
MNP,11,0,50.0,42.0,57.0
MNP,11,1,-0.0,0.0,0.0
MNP,11,2,23.0,94.0,20.0
MNP,12,0,50.0,42.0,88.0
MNP,12,1,-0.0,0.0,0.0
MNP,12,2,23.0,94.0,171.0
MNP,13,0,50.0,42.0,95.0
MNP,13,1,-0.0,0.0,0.0
MNP,13,2,23.0,94.0,164.0
MNP,14,0,50.0,42.0,100.0
MNP,14,1,-0.0,0.0,0.0
MNP,14,2,23.0,94.0,108.0
MNP,15,0,50.0,42.0,106.0
MNP,15,1,-0.0,0.0,0.0
MNP,15,2,23.0,94.0,111.0
MRP,0,0,50.0,6.0,85.0
MRP,0,1,-0.0,0.0,0.0
MRP,0,2,25.0,1.0,32.0
MRP,1,0,50.0,6.0,84.0
MRP,1,1,-0.0,0.0,0.0
MRP,1,2,25.0,1.0,25.0
MRP,2,0,50.0,6.0,55.0
MRP,2,1,-0.0,0.0,0.0
MRP,2,2,25.0,1.0,26.0
MRP,3,0,50.0,6.0,50.0
MRP,3,1,-0.0,0.0,0.0
MRP,3,2,25.0,1.0,28.0
MRP,4,0,50.0,6.0,68.0
MRP,4,1,-0.0,0.0,0.0
MRP,4,2,25.0,1.0,21.0
MRP,5,0,50.0,6.0,77.0
MRP,5,1,-0.0,0.0,0.0
MRP,5,2,25.0,1.0,20.0
MRP,6,0,50.0,6.0,82.0
MRP,6,1,-0.0,0.0,0.0
MRP,6,2,25.0,1.0,22.0
MRP,7,0,50.0,6.0,82.0
MRP,7,1,-0.0,0.0,0.0
MRP,7,2,25.0,1.0,21.0
MRP,8,0,50.0,6.0,73.0
MRP,8,1,-0.0,0.0,0.0
MRP,8,2,25.0,1.0,17.0
MRP,9,0,50.0,6.0,76.0
MRP,9,1,-0.0,0.0,0.0
MRP,9,2,25.0,1.0,17.0
MRP,10,0,50.0,6.0,50.0
MRP,10,1,-0.0,0.0,0.0
MRP,10,2,25.0,1.0,9.0
MRP,11,0,50.0,6.0,53.0
MRP,11,1,-0.0,0.0,0.0
MRP,11,2,25.0,1.0,11.0
MRP,12,0,50.0,6.0,124.0
MRP,12,1,-0.0,0.0,0.0
MRP,12,2,25.0,1.0,168.0
MRP,13,0,50.0,6.0,118.0
MRP,13,1,-0.0,0.0,0.0
MRP,13,2,25.0,1.0,165.0
MRP,14,0,50.0,6.0,105.0
MRP,14,1,-0.0,0.0,0.0
MRP,14,2,25.0,1.0,107.0
MRP,15,0,50.0,6.0,114.0
MRP,15,1,-0.0,0.0,0.0
MRP,15,2,25.0,1.0,108.0
